iter	Passed	Remaining
0	195	195111
1	205	102526
2	206	68753
3	209	52042
4	210	41949
5	213	35394
6	220	31338
7	222	27601
8	224	24714
9	225	22346
10	226	20405
11	228	18788
12	229	17421
13	259	18242
14	260	17101
15	262	16130
16	267	15489
17	269	14687
18	270	13968
19	271	13319
20	273	12740
21	275	12231
22	276	11742
23	277	11292
24	284	11097
25	285	10705
26	287	10349
27	288	10032
28	290	9718
29	291	9427
30	292	9152
31	294	8898
32	299	8780
33	302	8605
34	304	8386
35	305	8175
36	306	7975
37	308	7802
38	316	7788
39	318	7639
40	320	7498
41	322	7359
42	324	7221
43	337	7322
44	338	7192
45	340	7055
46	341	6929
47	347	6885
48	348	6762
49	349	6644
50	351	6533
51	353	6439
52	354	6340
53	356	6247
54	362	6236
55	364	6141
56	365	6054
57	367	5966
58	368	5881
59	370	5800
60	371	5717
61	372	5638
62	373	5561
63	375	5485
64	376	5416
65	377	5344
66	378	5273
67	379	5203
68	380	5136
69	381	5070
70	382	5008
71	388	5001
72	389	4943
73	390	4888
74	391	4831
75	392	4775
76	393	4720
77	394	4667
78	395	4615
79	397	4567
80	398	4525
81	405	4537
82	405	4484
83	406	4437
84	407	4390
85	408	4345
86	409	4301
87	411	4259
88	412	4217
89	413	4176
90	414	4136
91	419	4143
92	421	4106
93	422	4071
94	423	4037
95	425	4009
96	427	3978
97	428	3946
98	429	3911
99	436	3930
100	438	3899
101	440	3873
102	441	3847
103	452	3896
104	453	3866
105	454	3836
106	456	3806
107	460	3799
108	466	3809
109	467	3781
110	468	3754
111	470	3730
112	471	3704
113	473	3679
114	475	3662
115	479	3657
116	480	3629
117	482	3605
118	483	3582
119	485	3559
120	486	3536
121	487	3510
122	489	3488
123	495	3497
124	496	3474
125	497	3451
126	499	3430
127	500	3408
128	502	3389
129	503	3368
130	504	3347
131	506	3332
132	508	3312
133	510	3299
134	516	3308
135	521	3312
136	522	3293
137	524	3278
138	526	3258
139	527	3241
140	529	3224
141	529	3202
142	531	3186
143	532	3167
144	538	3177
145	540	3159
146	541	3142
147	542	3125
148	544	3108
149	545	3093
150	547	3076
151	553	3088
152	555	3072
153	556	3056
154	557	3039
155	564	3052
156	568	3051
157	569	3036
158	571	3020
159	574	3018
160	582	3035
161	583	3019
162	585	3005
163	586	2990
164	587	2975
165	589	2960
166	590	2945
167	597	2957
168	598	2943
169	600	2929
170	601	2915
171	602	2901
172	610	2918
173	611	2904
174	613	2893
175	616	2885
176	617	2870
177	618	2855
178	625	2870
179	627	2860
180	629	2847
181	630	2833
182	631	2819
183	632	2805
184	633	2791
185	639	2800
186	641	2787
187	642	2774
188	643	2760
189	644	2747
190	645	2733
191	646	2720
192	647	2706
193	648	2694
194	649	2681
195	655	2688
196	656	2676
197	657	2664
198	658	2651
199	659	2638
200	660	2626
201	661	2614
202	663	2603
203	664	2591
204	665	2579
205	671	2587
206	672	2575
207	673	2563
208	674	2552
209	675	2541
210	677	2532
211	678	2521
212	679	2510
213	687	2523
214	690	2520
215	691	2511
216	693	2501
217	694	2491
218	702	2506
219	704	2496
220	706	2488
221	707	2478
222	708	2469
223	709	2458
224	710	2447
225	711	2437
226	718	2445
227	719	2436
228	720	2427
229	722	2417
230	723	2407
231	724	2397
232	725	2387
233	726	2378
234	727	2369
235	733	2375
236	734	2366
237	735	2356
238	736	2346
239	738	2338
240	739	2328
241	740	2319
242	741	2309
243	742	2301
244	748	2306
245	749	2297
246	750	2289
247	752	2280
248	753	2273
249	755	2265
250	756	2256
251	757	2248
252	758	2240
253	764	2245
254	765	2237
255	767	2229
256	770	2226
257	771	2217
258	772	2209
259	773	2201
260	779	2208
261	781	2202
262	782	2193
263	784	2186
264	785	2177
265	786	2169
266	787	2160
267	788	2153
268	789	2145
269	792	2142
270	793	2135
271	794	2127
272	795	2119
273	796	2111
274	797	2103
275	798	2095
276	799	2087
277	800	2080
278	802	2072
279	803	2065
280	808	2069
281	810	2062
282	811	2055
283	812	2049
284	814	2042
285	815	2035
286	816	2027
287	817	2020
288	818	2012
289	819	2005
290	824	2008
291	825	2002
292	827	1995
293	828	1989
294	829	1983
295	831	1977
296	832	1971
297	834	1965
298	840	1969
299	841	1963
300	843	1957
301	844	1951
302	845	1944
303	846	1937
304	847	1930
305	848	1923
306	849	1917
307	853	1917
308	855	1912
309	856	1906
310	857	1899
311	858	1893
312	859	1886
313	860	1880
314	861	1873
315	862	1867
316	863	1861
317	864	1854
318	869	1857
319	871	1851
320	872	1844
321	873	1838
322	874	1832
323	875	1826
324	876	1820
325	877	1814
326	878	1808
327	879	1802
328	883	1802
329	884	1796
330	887	1793
331	888	1787
332	889	1782
333	890	1776
334	891	1770
335	892	1764
336	893	1758
337	894	1752
338	899	1754
339	900	1748
340	902	1743
341	903	1738
342	904	1733
343	905	1727
344	906	1721
345	908	1716
346	909	1711
347	910	1705
348	915	1707
349	917	1704
350	926	1713
351	939	1730
352	941	1725
353	942	1719
354	947	1722
355	949	1717
356	950	1712
357	951	1707
358	953	1702
359	954	1697
360	955	1692
361	956	1686
362	958	1681
363	963	1684
364	964	1678
365	966	1673
366	967	1668
367	968	1662
368	969	1657
369	970	1651
370	971	1646
371	972	1641
372	973	1635
373	978	1637
374	979	1632
375	980	1626
376	981	1621
377	982	1616
378	983	1611
379	984	1606
380	985	1600
381	987	1597
382	989	1593
383	995	1596
384	996	1591
385	998	1588
386	1000	1585
387	1003	1582
388	1009	1585
389	1011	1581
390	1012	1576
391	1015	1574
392	1016	1570
393	1017	1565
394	1021	1564
395	1023	1561
396	1024	1556
397	1026	1552
398	1027	1547
399	1029	1544
400	1030	1539
401	1031	1534
402	1032	1530
403	1033	1525
404	1039	1526
405	1040	1521
406	1041	1517
407	1042	1512
408	1043	1508
409	1044	1503
410	1045	1498
411	1046	1493
412	1047	1489
413	1048	1484
414	1049	1479
415	1055	1481
416	1056	1476
417	1057	1472
418	1058	1467
419	1059	1462
420	1060	1458
421	1061	1453
422	1062	1449
423	1063	1444
424	1064	1440
425	1069	1440
426	1070	1436
427	1071	1431
428	1072	1427
429	1073	1422
430	1074	1418
431	1075	1414
432	1076	1409
433	1077	1405
434	1078	1401
435	1080	1397
436	1083	1396
437	1084	1391
438	1085	1387
439	1086	1383
440	1087	1378
441	1088	1374
442	1089	1370
443	1091	1366
444	1092	1362
445	1093	1358
446	1094	1353
447	1095	1349
448	1099	1348
449	1100	1344
450	1102	1341
451	1104	1338
452	1105	1334
453	1109	1334
454	1110	1330
455	1112	1327
456	1114	1323
457	1115	1320
458	1117	1317
459	1118	1313
460	1119	1309
461	1120	1305
462	1121	1301
463	1122	1297
464	1123	1293
465	1128	1293
466	1129	1289
467	1130	1285
468	1131	1281
469	1132	1277
470	1133	1273
471	1134	1269
472	1135	1265
473	1136	1261
474	1137	1257
475	1138	1253
476	1139	1249
477	1145	1250
478	1146	1247
479	1147	1243
480	1148	1239
481	1149	1235
482	1151	1232
483	1151	1228
484	1153	1224
485	1153	1220
486	1154	1216
487	1159	1216
488	1160	1212
489	1161	1208
490	1162	1205
491	1163	1201
492	1164	1197
493	1165	1194
494	1166	1190
495	1167	1186
496	1168	1182
497	1169	1179
498	1170	1175
499	1172	1172
500	1174	1169
501	1175	1166
502	1177	1163
503	1178	1159
504	1179	1155
505	1180	1152
506	1181	1148
507	1182	1144
508	1183	1141
509	1184	1137
510	1186	1135
511	1188	1132
512	1190	1130
513	1192	1127
514	1194	1125
515	1195	1121
516	1197	1118
517	1198	1114
518	1199	1111
519	1202	1110
520	1204	1107
521	1205	1104
522	1207	1101
523	1208	1097
524	1209	1094
525	1210	1090
526	1211	1087
527	1212	1084
528	1213	1080
529	1214	1077
530	1219	1076
531	1220	1073
532	1221	1070
533	1222	1067
534	1224	1064
535	1226	1061
536	1227	1058
537	1228	1054
538	1229	1051
539	1235	1052
540	1236	1049
541	1237	1046
542	1239	1042
543	1240	1039
544	1241	1036
545	1243	1033
546	1244	1030
547	1245	1027
548	1250	1027
549	1252	1024
550	1253	1021
551	1254	1018
552	1255	1015
553	1257	1012
554	1258	1009
555	1260	1006
556	1263	1005
557	1265	1002
558	1266	999
559	1267	995
560	1268	992
561	1269	989
562	1271	986
563	1273	984
564	1274	981
565	1275	978
566	1279	976
567	1280	973
568	1281	970
569	1283	967
570	1284	964
571	1285	961
572	1286	959
573	1288	956
574	1289	953
575	1291	950
576	1296	950
577	1297	947
578	1298	944
579	1299	941
580	1301	938
581	1302	935
582	1313	939
583	1315	936
584	1316	934
585	1317	931
586	1319	928
587	1320	925
588	1322	922
589	1323	919
590	1324	916
591	1326	913
592	1327	911
593	1329	908
594	1330	905
595	1331	902
596	1332	899
597	1333	896
598	1335	893
599	1340	893
600	1342	891
601	1344	888
602	1345	885
603	1347	883
604	1349	880
605	1350	878
606	1357	879
607	1359	876
608	1360	873
609	1361	870
610	1363	867
611	1364	865
612	1365	862
613	1370	861
614	1372	859
615	1373	856
616	1375	853
617	1376	850
618	1377	848
619	1379	845
620	1380	842
621	1381	839
622	1385	838
623	1386	835
624	1389	833
625	1392	831
626	1394	829
627	1396	827
628	1401	826
629	1405	825
630	1409	824
631	1410	821
632	1416	821
633	1418	819
634	1427	820
635	1433	820
636	1438	819
637	1440	817
638	1443	815
639	1450	816
640	1455	815
641	1460	814
642	1469	816
643	1471	813
644	1473	810
645	1474	808
646	1479	807
647	1482	805
648	1484	803
649	1487	801
650	1490	798
651	1496	798
652	1514	804
653	1516	802
654	1517	799
655	1518	796
656	1522	794
657	1528	794
658	1530	791
659	1531	788
660	1533	786
661	1534	783
662	1537	781
663	1541	779
